state.name,year,Goodbills,BadBills
Alabama,1982,,
Alabama,1983,,
Alabama,1984,,
Alabama,1985,,
Alabama,1986,,
Alabama,1987,,
Alabama,1988,,
Alabama,1989,,
Alabama,1990,,
Alabama,1991,,
Alabama,1992,,
Alabama,1993,,
Alabama,1994,,
Alabama,1995,,
Alabama,1996,,
Alabama,1997,,
Alabama,1998,,
Alabama,1999,,
Alabama,2000,,
Alabama,2001,,
Alabama,2002,,
Alabama,2003,,
Alabama,2004,0,6
Alabama,2005,0,11
Alabama,2006,2,2
Alabama,2007,1,1
Alabama,2008,4,0
Alabama,2009,4,1
Alabama,2010,3,6
Alabama,2011,6,1
Alabama,2012,7,0
Alabama,2013,2,0
Alabama,2014,2,2
Alabama,2015,7,6
Alaska,1982,,
Alaska,1983,,
Alaska,1984,,
Alaska,1985,,
Alaska,1986,,
Alaska,1987,,
Alaska,1988,,
Alaska,1989,,
Alaska,1990,,
Alaska,1991,,
Alaska,1992,,
Alaska,1993,,
Alaska,1994,,
Alaska,1995,,
Alaska,1996,,
Alaska,1997,,
Alaska,1998,,
Alaska,1999,,
Alaska,2000,,
Alaska,2001,,
Alaska,2002,,
Alaska,2003,,
Alaska,2004,2,0
Alaska,2005,1,1
Alaska,2006,2,3
Alaska,2007,1,1
Alaska,2008,1,2
Alaska,2009,0,0
Alaska,2010,0,0
Alaska,2011,2,1
Alaska,2012,0,0
Alaska,2013,2,0
Alaska,2014,2,0
Alaska,2015,4,1
Arizona,1982,,
Arizona,1983,,
Arizona,1984,,
Arizona,1985,,
Arizona,1986,,
Arizona,1987,,
Arizona,1988,,
Arizona,1989,,
Arizona,1990,,
Arizona,1991,,
Arizona,1992,,
Arizona,1993,,
Arizona,1994,,
Arizona,1995,,
Arizona,1996,,
Arizona,1997,,
Arizona,1998,,
Arizona,1999,,
Arizona,2000,,
Arizona,2001,,
Arizona,2002,,
Arizona,2003,,
Arizona,2004,3,3
Arizona,2005,4,2
Arizona,2006,7,5
Arizona,2007,3,1
Arizona,2008,11,1
Arizona,2009,2,0
Arizona,2010,4,6
Arizona,2011,7,3
Arizona,2012,7,1
Arizona,2013,10,3
Arizona,2014,8,2
Arizona,2015,10,0
Arkansas,1982,,
Arkansas,1983,,
Arkansas,1984,,
Arkansas,1985,,
Arkansas,1986,,
Arkansas,1987,,
Arkansas,1988,,
Arkansas,1989,,
Arkansas,1990,,
Arkansas,1991,,
Arkansas,1992,,
Arkansas,1993,,
Arkansas,1994,,
Arkansas,1995,,
Arkansas,1996,,
Arkansas,1997,,
Arkansas,1998,,
Arkansas,1999,,
Arkansas,2000,,
Arkansas,2001,,
Arkansas,2002,,
Arkansas,2003,,
Arkansas,2004,0,1
Arkansas,2005,2,4
Arkansas,2006,0,0
Arkansas,2007,0,2
Arkansas,2008,0,0
Arkansas,2009,0,1
Arkansas,2010,0,0
Arkansas,2011,4,2
Arkansas,2012,0,0
Arkansas,2013,0,3
Arkansas,2014,0,0
Arkansas,2015,2,7
California,1982,,
California,1983,,
California,1984,,
California,1985,,
California,1986,,
California,1987,,
California,1988,,
California,1989,,
California,1990,,
California,1991,,
California,1992,,
California,1993,,
California,1994,,
California,1995,,
California,1996,,
California,1997,,
California,1998,,
California,1999,,
California,2000,,
California,2001,,
California,2002,,
California,2003,,
California,2004,10,2
California,2005,14,6
California,2006,14,5
California,2007,11,0
California,2008,8,2
California,2009,16,1
California,2010,24,1
California,2011,25,1
California,2012,15,1
California,2013,20,1
California,2014,13,0
California,2015,11,1
Colorado,1982,,
Colorado,1983,,
Colorado,1984,,
Colorado,1985,,
Colorado,1986,,
Colorado,1987,,
Colorado,1988,,
Colorado,1989,,
Colorado,1990,,
Colorado,1991,,
Colorado,1992,,
Colorado,1993,,
Colorado,1994,,
Colorado,1995,,
Colorado,1996,,
Colorado,1997,,
Colorado,1998,,
Colorado,1999,,
Colorado,2000,,
Colorado,2001,,
Colorado,2002,,
Colorado,2003,,
Colorado,2004,3,2
Colorado,2005,3,2
Colorado,2006,2,1
Colorado,2007,2,0
Colorado,2008,3,0
Colorado,2009,4,0
Colorado,2010,2,1
Colorado,2011,5,0
Colorado,2012,3,2
Colorado,2013,2,0
Colorado,2014,2,1
Colorado,2015,6,4
Connecticut,1982,,
Connecticut,1983,,
Connecticut,1984,,
Connecticut,1985,,
Connecticut,1986,,
Connecticut,1987,,
Connecticut,1988,,
Connecticut,1989,,
Connecticut,1990,,
Connecticut,1991,,
Connecticut,1992,,
Connecticut,1993,,
Connecticut,1994,,
Connecticut,1995,,
Connecticut,1996,,
Connecticut,1997,,
Connecticut,1998,,
Connecticut,1999,,
Connecticut,2000,,
Connecticut,2001,,
Connecticut,2002,,
Connecticut,2003,,
Connecticut,2004,3,0
Connecticut,2005,5,1
Connecticut,2006,1,0
Connecticut,2007,7,0
Connecticut,2008,2,0
Connecticut,2009,5,1
Connecticut,2010,0,0
Connecticut,2011,12,0
Connecticut,2012,0,0
Connecticut,2013,3,0
Connecticut,2014,2,0
Connecticut,2015,7,1
Delaware,1982,,
Delaware,1983,,
Delaware,1984,,
Delaware,1985,,
Delaware,1986,,
Delaware,1987,,
Delaware,1988,,
Delaware,1989,,
Delaware,1990,,
Delaware,1991,,
Delaware,1992,,
Delaware,1993,,
Delaware,1994,,
Delaware,1995,,
Delaware,1996,,
Delaware,1997,,
Delaware,1998,,
Delaware,1999,,
Delaware,2000,,
Delaware,2001,,
Delaware,2002,,
Delaware,2003,,
Delaware,2004,1,1
Delaware,2005,1,1
Delaware,2006,1,1
Delaware,2007,2,2
Delaware,2008,2,1
Delaware,2009,3,1
Delaware,2010,1,0
Delaware,2011,2,0
Delaware,2012,1,0
Delaware,2013,4,0
Delaware,2014,1,0
Delaware,2015,2,1
Florida,1982,,
Florida,1983,,
Florida,1984,,
Florida,1985,,
Florida,1986,,
Florida,1987,,
Florida,1988,,
Florida,1989,,
Florida,1990,,
Florida,1991,,
Florida,1992,,
Florida,1993,,
Florida,1994,,
Florida,1995,,
Florida,1996,,
Florida,1997,,
Florida,1998,,
Florida,1999,,
Florida,2000,,
Florida,2001,,
Florida,2002,,
Florida,2003,,
Florida,2004,2,0
